52: [0.5737581253051758, 0.29927366971969604, 0.3939918113086468, 0.17590426942327275], [5, 7GB, 14GB, 183MB]
53: [0.6301995515823364, 0.19619041681289673, 0.8009302020072937, 0.17166729271411896], [6, 4GB, 24GB, 179MB]
54: [0.604921817779541, 0.8803435812772044, 0.8526022402545531, 0.9015995860099792], [6, 21GB, 26GB, 923MB]
55: [0.5371766731466012, 0.052266426256819654, 0.14517326910169237, 0.4703965485095978], [5, 1GB, 7GB, 483MB]
56: [0.5735952854156494, 0.5250495076179504, 0.8180252909660339, 0.07849536091089249], [5, 12GB, 25GB, 84MB]
57: [0.10857001055264426, 0.613191545009613, 0.4011143917380494, 0.5691385805274338], [3, 14GB, 14GB, 584MB]
58: [0.8853872441552366, 0.03180806303617245, 0.5196354442314025, 0.8953251242637634], [7, 905MB, 17GB, 917MB]
59: [0.2241514790025958, 0.661897599697113, 0.9737889095074972, 0.03397957235574722], [3, 15GB, 29GB, 38MB]
60: [0.6572239995002747, 0.3352077305316925, 0.9718161225318909, 0.9675914809669351], [6, 8GB, 29GB, 990MB]
61: [0.18467983199603233, 0.5145265460014343, 0.6796451807022095, 0.5373077988624573], [3, 12GB, 21GB, 552MB]
62: [0.645826518535614, 0.6728282126281492, 0.9260189533233643, 0.7824645507653967], [6, 16GB, 28GB, 802MB]
63: [0.5396639108657837, 0.5075550682423482, 0.7831670045852661, 0.0004292086814530194], [5, 12GB, 24GB, 4MB]
64: [0.5423922538757324, 0.10457854717969894, 0.7447641766130533, 0.0020759236067533493], [5, 2GB, 23GB, 6MB]
65: [0.4158156216144562, 0.10057655721902847, 0.16824787855148315, 0.06727010011672974], [4, 2GB, 8GB, 72MB]
66: [0.27058422795323367, 0.3865419626235962, 0.02324647083878517, 0.8840405940159821], [4, 9GB, 4GB, 905MB]
67: [0.5174241065979004, 0.17873977026255816, 0.9488199949264526, 0.03514673933386803], [5, 4GB, 28GB, 39MB]
68: [0.8460246882178747, 0.35689955949783325, 0.22599552633736475, 0.06384319067001343], [7, 8GB, 9GB, 69MB]
69: [0.724091483437877, 0.29381442070007324, 0.9927200078964233, 5.59299314772943e-06], [6, 7GB, 29GB, 4MB]
70: [0.3389969016787632, 0.45670127868652344, 0.01042304839938879, 0.2986406770764749], [4, 11GB, 4GB, 308MB]
71: [0.9058071953928739, 0.2612316407375056, 0.9386424555133467, 0.9107350428473103], [7, 6GB, 28GB, 932MB]
72: [0.6363224983215332, 0.9104065895080566, 0.954565783825497, 1.3795635140922968e-06], [6, 21GB, 28GB, 4MB]
73: [0.6921367511957678, 0.18660007417201996, 0.3699485159763737, 0.48305287517652307], [6, 4GB, 13GB, 496MB]
74: [0.5950007438659668, 0.01702583097601018, 0.140439966210832, 0.9966733455657959], [6, 544MB, 7GB, 1020MB]
75: [0.6132363677024841, 0.6948074153816085, 0.425209182802866, 2.359379550398444e-06], [6, 16GB, 15GB, 4MB]
76: [0.5864742398262024, 0.054605869154590536, 0.9913682341575623, 0.9535438418388367], [6, 1GB, 29GB, 976MB]
77: [0.6282743811607361, 0.13325315713882446, 0.9968864917755127, 0.9389873038064919], [6, 3GB, 29GB, 961MB]
78: [0.5811207890510559, 0.6979398042405625, 2.5472354536759667e-05, 0.532358186577165], [5, 16GB, 4GB, 547MB]
79: [0.6640850305557251, 0.18924374878406525, 0.9980095028877258, 0.995479166507721], [6, 4GB, 29GB, 1019MB]
80: [0.20321519554198297, 0.6035475134849548, 0.015604713000357151, 0.2038825899362564], [3, 14GB, 4GB, 211MB]
81: [0.6433241963386536, 0.10763636231422424, 0.9974538087844849, 0.027369779496864033], [6, 2GB, 29GB, 31MB]
82: [0.32749988957479015, 0.5080254673957825, 0.0010557686910033226, 0.015530038625001907], [4, 12GB, 4GB, 19MB]
83: [0.5860128402709961, 0.06782611459493637, 0.9942531585693359, 0.18063510244452918], [6, 1GB, 29GB, 188MB]
84: [0.4821618152044177, 0.3028984428297671, 0.8621217608451843, 0.9999058246612549], [5, 7GB, 26GB, 1023MB]
85: [0.06604089290965509, 0.601326048374176, 0.001071058795787394, 0.1891205608844757], [2, 14GB, 4GB, 196MB]
86: [0.6179482936859131, 0.172967791557312, 0.8261450587838567, 0.9999982714653015], [6, 4GB, 25GB, 1023MB]
87: [0.6192689538002014, 0.7413605341557461, 6.242815288715065e-05, 6.114277795177259e-08], [6, 17GB, 4GB, 4MB]
